Etichette di riga;Media di count turtles;Dev. standard di count turtles2;Media di round storage;Dev. standard di round storage;Media di sum [max-psugar] of patches;Dev. standard di sum [max-psugar] of patches2
149;251,98;23,97304041;0;0;4622;0
150;253,63;24,67921671;0;0;4622;0
151;254,55;24,76245733;0;0;4622;0
152;256,14;24,89656177;0;0;4622;0
153;257,27;24,74510665;0;0;4622;0
154;258,57;24,06273577;0;0;4622;0
155;260,23;24,41346499;0;0;4622;0
156;261,79;24,70974739;0;0;4622;0
157;263,64;24,59921983;0;0;4622;0
158;265,22;24,55732523;0;0;4622;0
159;267,08;25,24773417;0;0;4622;0
160;269,75;25,28758828;0;0;4622;0
161;272,21;25,46825911;0;0;4622;0
162;274,48;25,77465673;0;0;4622;0
163;276,57;26,03038434;0;0;4622;0
164;278,34;26,31020081;0;0;4622;0
165;280,44;26,35550275;0;0;4622;0
166;282,14;26,46859011;0;0;4622;0
167;283,42;26,79935926;0;0;4622;0
168;286,05;26,95389816;0;0;4622;0
169;287,55;27,14174354;0;0;4622;0
170;289,02;27,05325089;0;0;4622;0
171;290,73;26,98815865;0;0;4622;0
172;291,77;26,8323847;0;0;4622;0
173;292,79;26,30715807;0;0;4622;0
174;294,01;26,14585932;0;0;4622;0
175;295,48;25,94846485;0;0;4622;0
176;296,75;25,50990103;0;0;4622;0
177;297,03;25,23083531;0;0;4622;0
178;298,42;25,48050552;0;0;4622;0
179;298,68;24,30441619;0;0;4622;0
180;299,89;24,71489756;0;0;4622;0
181;300,75;24,90319642;0;0;4622;0
182;301,72;25,36842864;0;0;4622;0
183;303,01;25,78602511;0;0;4622;0
184;304,02;25,60578375;0;0;4622;0
185;304,63;25,47514336;0;0;4622;0
186;305,51;24,84314226;0;0;4622;0
187;306,05;24,36149263;0;0;4622;0
188;307,36;24,64926495;0;0;4622;0
189;308,07;24,96391537;0;0;4622;0
190;308,5;24,96806041;0;0;4622;0
191;309,22;25,00891962;0;0;4622;0
192;310,45;25,05604828;0;0;4622;0
193;310,77;24,3343109;0;0;4622;0
194;311,27;24,04997112;0;0;4622;0
195;312,07;24,0858125;0;0;4622;0
196;312,7;24,2109834;0;0;4622;0
197;313,2;23,65535368;0;0;4622;0
198;313,87;23,4131341;0;0;4622;0
199;314,71;23,23411589;0;0;4622;0
200;315,08;23,36304602;0;0;4622;0
